ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
1	Person 	 84.87273454666138 
2	Person 	 82.12013840675354 
3	Outerwear 	 79.22626733779907 
4	Person 	 73.9126443862915 
5	Shoe 	 69.43368911743164 
6	Person 	 68.61487030982971 
7	Clothing 	 68.16055178642273 
8	Skirt 	 66.9844388961792 
9	Person 	 64.34899568557739 


ffa .fem-flight-attendants-light-83.jpg
 	Label 	 Score
0	Sleeve 	 87.1300995349884 
1	Gesture 	 85.2604866027832 
2	Flash photography 	 82.7247142791748 
3	Air travel 	 78.73796224594116 
4	Electric blue 	 73.34787249565125 
5	Comfort 	 72.92804718017578 
6	Space 	 71.98241353034973 
7	Ceiling 	 71.84275388717651 
8	Fun 	 70.80858945846558 
9	Airplane 	 69.10635828971863 
	Object 	 Score
0	Person 	 89.87325429916382 
1	Outerwear 	 82.2567880153656 
2	Furniture 	 61.429786682128906 


ffa .fem-flight-attendants-light-166.jpg
 	Label 	 Score
0	Smile 	 93.3702826499939 
1	Fashion 	 89.37808871269226 
2	Sleeve 	 87.24498152732849 
3	Standing 	 86.42165660858154 
4	Dress shirt 	 85.62882542610168 
5	Tie 	 85.56707501411438 
6	Headgear 	 84.23503637313843 
7	Collar 	 84.09646153450012 
8	Waist 	 79.34190034866333 
